fecha,tipo,clave,total
2026-04-05,partido,ERC,152
2026-04-05,partido,PODEMOS,18
2026-04-05,partido,SUMAR,21
2026-04-05,partido,PP,58
2026-04-05,partido,PSOE,31
2026-04-05,partido,VOX,14
2026-04-05,partido,CUP,49
2026-04-05,partido,JUNTS,3
2026-04-05,partido,Cs,9
2026-04-05,partido,EH BILDU,6
2026-04-05,partido,BNG,3
2026-04-05,partido,PNV,8
2026-04-06,partido,ERC,181
2026-04-06,partido,EH BILDU,11
2026-04-06,partido,SUMAR,30
2026-04-06,partido,JUNTS,3
2026-04-06,partido,PSOE,73
2026-04-06,partido,CUP,41
2026-04-06,partido,VOX,27
2026-04-06,partido,PP,117
2026-04-06,partido,PODEMOS,32
2026-04-06,partido,Cs,6
2026-04-06,partido,CC,1
2026-04-06,partido,PNV,5
2026-04-06,partido,MÁS MADRID,1
2026-04-07,partido,PODEMOS,34
2026-04-07,partido,ERC,250
2026-04-07,partido,PSOE,91
2026-04-07,partido,PP,131
2026-04-07,partido,VOX,36
2026-04-07,partido,CUP,57
